timestamp,symbol,bid_qty_1,ask_qty_1,nobi_1,bid_qty_5,ask_qty_5,nobi_5,bid_qty_20,ask_qty_20,nobi_20,mid_price,spread_bps,best_bid,best_ask
2026-05-04T09:40:37Z,ETHUSDT,7.134500,34.793700,-0.659680,8.823800,34.810400,-0.595556,68.641100,65.445500,0.023832,2367.3250,0.04,2367.3200,2367.3300
2026-05-04T09:55:38Z,ETHUSDT,18.151900,23.717800,-0.132934,26.226900,31.810200,-0.096202,106.044100,40.896700,0.443358,2370.6650,0.04,2370.6600,2370.6700
2026-05-04T12:15:22Z,ETHUSDT,35.143200,8.077600,0.626217,38.698300,8.622100,0.635586,51.088200,20.914200,0.419069,2337.2850,0.04,2337.2800,2337.2900
2026-05-04T12:20:56Z,ETHUSDT,20.533000,29.419500,-0.177899,32.449700,29.547100,0.046819,68.948300,77.945300,-0.061248,2342.6250,0.04,2342.6200,2342.6300
2026-05-04T12:35:56Z,ETHUSDT,37.089800,5.617900,0.736914,37.778300,9.308600,0.604620,84.341400,19.796300,0.619805,2337.4450,0.04,2337.4400,2337.4500
2026-05-04T12:50:57Z,ETHUSDT,21.867800,16.620000,0.136350,27.434900,23.931300,0.068208,28.106200,56.455100,-0.335247,2341.4450,0.04,2341.4400,2341.4500
2026-05-04T13:05:57Z,ETHUSDT,30.629200,3.630900,0.788039,43.238100,6.361100,0.743500,70.540900,18.907500,0.577242,2329.6850,0.04,2329.6800,2329.6900
2026-05-04T13:20:58Z,ETHUSDT,48.194800,0.231700,0.990431,70.330800,0.269000,0.992380,87.112800,28.804100,0.503022,2339.7950,0.04,2339.7900,2339.8000
2026-05-04T13:35:59Z,ETHUSDT,29.624800,3.437900,0.792038,29.655000,3.476100,0.790161,43.999100,6.904600,0.728719,2342.3250,0.04,2342.3200,2342.3300
2026-05-04T13:50:59Z,ETHUSDT,11.494900,26.127800,-0.388938,11.593900,37.832900,-0.530866,35.622200,54.511900,-0.209573,2336.8150,0.04,2336.8100,2336.8200
2026-05-04T14:06:00Z,ETHUSDT,53.526800,9.148100,0.708078,66.981600,9.177200,0.758998,103.721100,9.390200,0.833965,2332.1450,0.04,2332.1400,2332.1500
