bar,pct_0,pct_10,pct_20,pct_25,pct_30,pct_40,pct_45,pct_49,pct_50,pct_60,pct_65,pct_70,pct_75,pct_80,pct_90,pct_100
0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
4,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
6,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
7,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
8,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
9,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
10,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
11,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
12,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
13,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
14,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
15,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
16,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
17,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
18,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
19,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
20,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
21,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
22,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
23,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
24,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
25,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
26,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
27,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
28,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
29,1.081692,1.081692,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703
30,1.081692,1.081692,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703
31,1.081692,1.081692,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703
32,1.081692,1.081692,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703
33,1.081692,1.081692,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703
34,1.081692,1.081692,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703
35,1.081692,1.081692,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703
36,1.081692,1.081692,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703
37,1.081692,1.081692,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703
38,1.081692,1.081692,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703
39,1.081692,1.081692,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703
40,1.081692,1.081692,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703,1.116703
