hm,universe,window,step,equity
5,Base5,0,0,1.000000
5,Base5,0,1,1.000000
5,Base5,0,2,1.345878
5,Base5,0,3,1.490125
5,Base5,0,4,1.490125
5,Base5,0,5,1.547126
5,Base5,0,6,1.393284
5,Base5,0,7,1.355629
5,Base5,0,8,1.355629
5,Base5,0,9,1.355629
5,Base5,0,10,1.355629
5,Base5,0,11,1.355629
5,Base5,0,12,1.184412
5,Base5,0,13,1.184412
5,Base5,0,14,1.184412
5,Base5,0,15,1.184412
5,Base5,0,16,1.184412
5,Base5,0,17,1.184412
5,Base5,0,18,1.184412
5,Base5,0,19,1.184412
5,Base5,0,20,1.184412
5,Base5,0,21,1.184412
5,Base5,0,22,1.184412
5,Base5,0,23,1.184412
5,Base5,0,24,1.184412
5,Base5,0,25,1.184412
5,Base5,0,26,1.184412
5,Base5,0,27,1.184412
5,Base5,0,28,1.138045
5,Base5,0,29,0.709050
5,Base5,0,30,0.709050
5,Base5,0,31,0.709050
5,Base5,0,32,0.709050
5,Base5,0,33,0.709050
5,Base5,0,34,0.709050
5,Base5,0,35,0.709050
5,Base5,0,36,0.709050
5,Base5,0,37,0.709050
5,Base5,0,38,0.709050
5,Base5,0,39,0.708601
5,Base5,0,40,0.704261
5,Base5,0,41,0.704261
5,Base5,0,42,0.704261
5,Base5,0,43,0.704261
5,Base5,0,44,0.704261
5,Base5,0,45,0.704261
5,Base5,0,46,0.704261
5,Base5,0,47,0.704261
5,Base5,0,48,0.704261
5,Base5,0,49,0.704261
5,Base5,0,50,0.704261
5,Base5,0,51,0.704261
5,Base5,0,52,0.704261
5,Base5,0,53,0.704261
5,Base5,0,54,0.704261
5,Base5,0,55,0.704261
5,Base5,0,56,0.704261
5,Base5,0,57,0.704261
5,Base5,0,58,0.704261
5,Base5,0,59,0.704261
5,Base5,0,60,0.704261
5,Base5,0,61,0.704261
5,Base5,0,62,0.704261
5,Base5,0,63,0.704261
5,Base5,0,64,0.704261
5,Base5,0,65,0.704261
5,Base5,0,66,0.704261
5,Base5,0,67,0.704261
5,Base5,0,68,0.704261
5,Base5,0,69,0.704261
5,Base5,0,70,0.704261
5,Base5,0,71,0.704261
5,Base5,0,72,0.704261
5,Base5,0,73,0.704261
5,Base5,0,74,0.704261
5,Base5,0,75,0.751975
5,Base5,0,76,0.693650
5,Base5,0,77,0.693650
5,Base5,0,78,0.693650
5,Base5,0,79,0.693650
5,Base5,0,80,0.693650
5,Base5,0,81,0.693650
5,Base5,0,82,0.693650
5,Base5,0,83,0.693650
5,Base5,0,84,0.693650
5,Base5,0,85,0.680079
5,Base5,0,86,0.680079
5,Base5,0,87,0.680079
5,Base5,0,88,0.554655
5,Base5,0,89,0.449327
5,Base5,0,90,0.449327
5,Base5,0,91,0.449327
5,Base5,0,92,0.449327
5,Base5,0,93,0.449327
5,Base5,0,94,0.449327
5,Base5,0,95,0.449327
5,Base5,0,96,0.449327
5,Base5,0,97,0.449327
5,Base5,0,98,0.449327
5,Base5,0,99,0.449327
5,Base5,0,100,0.449327
5,Base5,0,101,0.449327
