universe,window,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
Base5,0,20.01,3.8177,58.26,12,41.67,true
Base5,1,152.67,5.7220,35.94,11,45.45,true
Base5,2,188.38,8.6467,33.18,12,58.33,true
Base5,3,6.90,2.4569,43.84,15,46.67,true
Base5,4,72.68,11.3660,19.68,8,62.50,true
Base5,5,42.27,4.8557,18.73,9,33.33,true
NoDOGE,0,20.01,3.8177,58.26,12,41.67,true
NoDOGE,1,-8.85,-1.1780,25.38,7,57.14,false
NoDOGE,2,437.82,12.6043,16.38,10,60.00,true
NoDOGE,3,78.02,5.1397,43.84,15,53.33,true
NoDOGE,4,92.08,16.1523,10.65,7,71.43,true
NoDOGE,5,-23.72,-4.4572,30.50,8,25.00,false
Legacy4,0,38.58,4.3184,30.34,13,46.15,true
Legacy4,1,39.32,6.6955,21.53,9,55.56,true
Legacy4,2,223.12,10.1908,16.38,9,66.67,true
Legacy4,3,65.80,5.6640,28.41,11,54.55,true
Legacy4,4,31.39,9.5137,16.15,5,80.00,true
Legacy4,5,44.36,9.9343,11.17,6,50.00,true
Legacy5BNB,0,166.07,8.4149,26.85,15,60.00,true
Legacy5BNB,1,-12.27,-0.8935,22.82,9,44.44,false
Legacy5BNB,2,124.97,7.1787,16.38,10,60.00,true
Legacy5BNB,3,181.71,9.2528,28.41,10,50.00,true
Legacy5BNB,4,50.46,10.9252,16.15,6,66.67,true
Legacy5BNB,5,23.89,8.1202,7.81,5,40.00,true
OldGuardNoBNB,0,50.93,5.2077,26.85,13,46.15,true
OldGuardNoBNB,1,-23.53,-2.5073,41.29,9,55.56,false
OldGuardNoBNB,2,232.14,10.4225,16.38,9,77.78,true
OldGuardNoBNB,3,65.80,5.6640,28.41,11,54.55,true
OldGuardNoBNB,4,31.39,9.5137,16.15,5,80.00,true
OldGuardNoBNB,5,150.53,15.8139,11.17,8,62.50,true
LargeCaps5,0,118.25,6.1021,58.26,13,46.15,true
LargeCaps5,1,-8.85,-1.1780,25.38,7,57.14,false
LargeCaps5,2,567.44,12.5513,16.38,10,60.00,true
LargeCaps5,3,21.02,3.4829,43.84,13,46.15,true
LargeCaps5,4,117.05,17.6790,13.66,7,71.43,true
LargeCaps5,5,-23.72,-4.4572,30.50,8,25.00,false
Legacy3,0,90.73,6.7995,22.99,13,53.85,true
Legacy3,1,31.25,5.5655,21.53,9,55.56,true
Legacy3,2,219.50,11.4275,16.38,7,71.43,true
Legacy3,3,164.91,10.8750,28.41,9,66.67,true
Legacy3,4,6.33,2.2002,18.22,8,62.50,true
Legacy3,5,10.42,3.8000,11.17,6,33.33,true
LowVolume5,0,30.20,3.0568,29.90,15,53.33,true
LowVolume5,1,-54.17,-7.3254,54.17,12,25.00,false
LowVolume5,2,586.50,12.8831,16.38,11,81.82,true
LowVolume5,3,-43.50,-0.6130,75.91,13,46.15,false
LowVolume5,4,-19.22,-0.7181,29.52,10,40.00,false
LowVolume5,5,29.08,4.4836,25.17,9,44.44,true
OldGuard4,0,136.71,9.0320,17.93,13,53.85,true
OldGuard4,1,14.41,3.3828,26.40,9,66.67,true
OldGuard4,2,176.00,8.6985,16.38,9,66.67,true
OldGuard4,3,164.91,10.8750,28.41,9,66.67,true
OldGuard4,4,96.25,10.6195,16.93,8,75.00,true
OldGuard4,5,19.00,3.3992,28.94,10,40.00,true
